"key","english","korean","claude_note"
"ui.title","Emotional Wisdom Wheel","감정 지혜의 수레바퀴",""
"ui.welcomeMessage","This interactive wheel helps you identify and understand different emotions.","이 인터랙티브 수레바퀴는 다양한 감정을 식별하고 이해하는 데 도움을 줍니다.",""
"ui.howToUseTitle","How to use:","사용 방법:",""
"ui.howToUseSteps[0]","Hover over any segment to highlight it","아무 구역 위에 마우스를 올려 강조 표시하세요",""
"ui.howToUseSteps[1]","Click on a segment to learn more about that emotion","구역을 클릭하면 해당 감정에 대해 더 알아볼 수 있습니다",""
"ui.howToUseSteps[2]","Explore the 8 core emotions and 32 related feelings","8가지 핵심 감정과 32가지 관련 느낌을 탐색하세요",""
"ui.copyright","©Joshua Freedman from the new book:","©Joshua Freedman의 새 책:",""
"ui.copyrightLink","Emotion Rules","Emotion Rules","Keep in English"
"ui.version","v3.3","v3.3",""
"ui.modalClose","×","×",""
"ui.relatedFeelingsLabel","Variations","변형",""
"ui.borderInfoLabel","Border Insight","경계 통찰",""
"ui.quotesLabel","Inspirational Quotes","영감을 주는 인용문",""
"ui.adaptivePurposeLabel","Adaptive Purpose","적응적 목적",""
"ui.overloadRiskLabel","Overload Risk","과부하 위험",""
"ui.overloadTipLabel","Balance Tip","균형 팁",""
"ui.tabEssentials","Essentials","핵심","Tab label; must be very short (1-3 chars ideal for ko)"
"ui.tabAlgebra","Algebra","대수","Tab label; must be very short (1-3 chars ideal for ko)"
"ui.tabWisdom","Wisdom","지혜","Tab label; must be very short (1-3 chars ideal for ko)"
"ui.tabExamples","Examples","사례","Tab label; must be very short (1-3 chars ideal for ko)"
"ui.tabEmojis","Emojis","이모지","Tab label; must be very short (1-3 chars ideal for ko)"
"ui.definitionLabel","Definition","정의",""
"ui.emotionalAlgebraLabel","Emotional Algebra","감정 대수",""
"ui.exploreRelatedLabel","Explore Related Feelings","관련 느낌 탐색",""
"ui.guidingQuestionLabel","Guiding Question","안내 질문",""
"ui.realLifeExampleLabel","Real-Life Example","실생활 사례",""
"ui.copyButton","Copy","복사",""
"ui.copiedToast","Copied!","복사되었습니다!",""
"ui.randomFeelingButton","🎲 Explore a Random Feeling","🎲 무작위 느낌 탐색",""
"ui.noQuotes","No quotations available for this feeling.","이 느낌에 대한 인용문이 없습니다.",""
"ui.comingSoon","Real-life examples coming soon.","실생활 사례가 곧 추가됩니다.",""
"ui.subscribeModalTitle","Unlock Full Access","전체 접근 잠금 해제",""
"ui.subscribeModalDescription","Get free access to wisdom insights and real-life examples for all 32 emotions.","32가지 감정에 대한 지혜의 통찰과 실생활 사례를 무료로 이용하세요.",""
"ui.subscribeButton","Subscribe Free","무료 구독",""
"ui.firstNamePlaceholder","First name","이름",""
"ui.emailPlaceholder","Email address","이메일 주소",""
"ui.countryPlaceholder","Select your country","국가를 선택하세요",""
"ui.privacyNote","We respect your privacy. Unsubscribe anytime.","귀하의 개인정보를 존중합니다. 언제든지 구독을 취소할 수 있습니다.",""
"ui.subscribeSuccess","Welcome! All content is now unlocked.","환영합니다! 모든 콘텐츠가 잠금 해제되었습니다.",""
"ui.welcomeBackTitle","Thank you for subscribing!","구독해 주셔서 감사합니다!",""
"ui.welcomeBackMessage","Close this message and you have full access to the Emotional Wisdom Wheel.","이 메시지를 닫으면 감정 지혜의 수레바퀴에 대한 전체 접근 권한이 부여됩니다.",""
"ui.welcomeBackButton","Start Exploring","탐색 시작하기",""
"ui.aboutLabel","About","소개","Short label for info button"
"ui.aboutCardText1","Emotions can be confusing, but they have their own logic... they follow ""rules."" That's what you'll get from the book <a href=""https://www.6seconds.org/emotionrules"" target=""_blank""><em>Emotion Rules, The Science and Practice of Emotional Wisdom.</em></a>","감정은 혼란스러울 수 있지만, 나름의 논리를 가지고 있습니다… 감정에는 “규칙”이 있습니다. 이것이 바로 <a href=""https://www.6seconds.org/emotionrules"" target=""_blank""><em>Emotion Rules, The Science and Practice of Emotional Wisdom.</em></a> 이 책에서 얻을 수 있는 것입니다.","Contains book title Emotion Rules and org name Six Seconds - keep those in English"
"ui.aboutCardText2","This Emotional Wisdom Wheel is based on the concepts in the book, and Six Seconds' methodology for helping people grow and practice emotional intelligence.","이 감정 지혜의 수레바퀴는 이 책의 개념과 사람들이 감성 지능을 성장시키고 실천할 수 있도록 돕는 Six Seconds의 방법론에 기반하고 있습니다.","Contains book title Emotion Rules and org name Six Seconds - keep those in English"
"ui.oppositeFeelingLabel","Feeling Across the Wheel","수레바퀴 반대편 느낌",""
"emotions.joy-1-optimistic.name","Optimistic","낙관적인","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.joy-1-optimistic.category","Joy","기쁨","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Joy emotions must use identical category string."
"emotions.joy-1-optimistic.description","A feeling of hopefulness and confidence about the future. When you're optimistic, you believe that good things will happen and maintain a positive outlook on life.","미래에 대한 희망과 자신감의 느낌입니다. 낙관적일 때 좋은 일이 일어날 것이라고 믿고 삶에 대해 긍정적인 전망을 유지합니다.",""
"emotions.joy-1-optimistic.question","What possibilities do you see? What could go right in this situation?","어떤 가능성이 보이나요? 이 상황에서 무엇이 잘될 수 있을까요?",""
"emotions.joy-1-optimistic.overloadRisk","If you over-use this feeling, you may overlook real risks or pressure others to 'stay positive' when they need something different.","이 느낌을 과도하게 사용하면 실제 위험을 간과하거나 다른 것이 필요한 사람들에게 '긍정적으로 생각하라'고 압박할 수 있습니다.",""
"emotions.joy-1-optimistic.overloadTip","To balance, name one real challenge and one concrete step to prepare for it while still honoring your sense of possibility.","균형을 위해, 가능성에 대한 감각을 존중하면서도 하나의 실질적인 도전과 그에 대비할 수 있는 구체적인 한 가지 단계를 이야기해 보세요.",""
"emotions.joy-1-optimistic.adaptivePurpose","Signals that you see positive possibilities and potential good outcomes.","긍정적인 가능성과 좋은 결과의 잠재력을 보고 있다는 신호입니다.",""
"emotions.joy-1-optimistic.relatedFeelings","Positive, Inspired, Hopeful","긍정적인, 영감받은, 희망찬","Comma-separated list of related feelings"
"emotions.joy-1-optimistic.borderInfo","Optimistic is near Anticipation because it has a component of looking ahead.","낙관적인 느낌은 앞을 내다보는 요소가 있어 기대 영역에 가깝습니다.",""
"emotions.joy-1-optimistic.story","Maria had been job hunting for three months with no luck. On the way to yet another interview, she caught herself smiling on the subway. ""I'm going to nail this one -- I've done the hard work,"" she thought. Instead of rehearsing what could go wrong, she found herself imagining her first day at the new office. The rational part of her brain warned against getting her hopes up, but something in her gut said this time she was really ready.","마리아는 석 달째 취업 활동을 하며 아무 성과가 없었습니다. 또 다른 면접을 향해 가는 길에 지하철에서 자신이 미소 짓고 있다는 것을 알아챘습니다. '이번에는 성공할 거야. 나는 노력했으니까'라고 생각했습니다. 무엇이 잘못될 수 있는지를 되뇌는 대신, 새 사무실에서의 첫날을 상상하고 있는 자신을 발견했습니다. 이성적인 부분은 기대를 품지 말라고 경고했지만, 직감적으로 이번에는 정말로 준비가 되었다고 느꼈습니다.",""
"emotions.joy-2-confident.name","Confident","자신감 있는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.joy-2-confident.category","Joy","기쁨","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Joy emotions must use identical category string."
"emotions.joy-2-confident.description","A sense of self-assurance arising from appreciation of your abilities or qualities. Confidence empowers you to take action and face challenges.","자신의 능력이나 자질에 대한 감사에서 비롯되는 자기 확신의 느낌입니다. 자신감은 행동하고 도전에 맞설 수 있는 힘을 줍니다.",""
"emotions.joy-2-confident.question","What strengths can you bring to this situation? What are you capable of doing?","이 상황에 어떤 강점을 가져올 수 있나요? 무엇을 할 수 있나요?",""
"emotions.joy-2-confident.overloadRisk","If you over-use this feeling, you may overestimate your capacity or dismiss others' perspectives and needs.","이 느낌을 과도하게 사용하면 자신의 능력을 과대평가하거나 다른 사람들의 관점과 필요를 무시할 수 있습니다.",""
"emotions.joy-2-confident.overloadTip","To balance, ask yourself where you still need input or support, and invite at least one other voice into the conversation.","균형을 위해, 아직 도움이나 지원이 필요한 부분이 어디인지 스스로에게 물어보고, 대화에 적어도 한 사람의 다른 목소리를 초대하세요.",""
"emotions.joy-2-confident.adaptivePurpose","Signals that you have resources, abilities, or experience you can draw on.","활용할 수 있는 자원, 능력 또는 경험이 있다는 신호입니다.",""
"emotions.joy-2-confident.relatedFeelings","Proud, Self-assured, Empowered","자랑스러운, 자기확신적인, 힘이 넘치는","Comma-separated list of related feelings"
"emotions.joy-2-confident.story","After months of preparation, James stood backstage waiting to give his first TEDx talk. His hands were steady, his breathing calm. He'd practiced this speech fifty times, knew every transition, every pause. When they called his name, he walked to center stage not with arrogance, but with quiet certainty. He had put in the work. He was ready.","몇 달간의 준비 끝에 제임스는 무대 뒤에서 첫 번째 TEDx 강연을 기다리며 서 있었습니다. 그의 손은 안정적이었고 호흡은 차분했습니다. 이 연설을 쉰 번이나 연습했고, 모든 전환과 쉬는 타이밍을 알고 있었습니다. 이름이 불리자 오만함이 아닌 조용한 확신을 가지고 무대 중앙으로 걸어갔습니다. 그는 노력을 기울였고, 준비가 되어 있었습니다.",""
"emotions.joy-2-confident.borderInfo","Confident is pure Joy energy directed inward—a recognition of your own capabilities. It sits between Optimistic (future-focused) and Joyful (present-moment pleasure).","“자신감 있는” 느낌은 순수한 기쁨 에너지가 내면으로 향한 것—자신의 능력에 대한 인식입니다. “낙관적인”(미래 지향적)과 “기쁜”(현재 순간의 즐거움) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.joy-3-joyful.name","Joyful","기쁜","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.joy-3-joyful.category","Joy","기쁨","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Joy emotions must use identical category string."
"emotions.joy-3-joyful.description","A feeling of great pleasure and happiness. Pure joy is an intense, positive emotion that fills you with delight and contentment.","큰 즐거움과 행복의 느낌입니다. 순수한 기쁨은 당신을 기쁨과 만족으로 가득 채우는 강렬하고 긍정적인 감정입니다.",""
"emotions.joy-3-joyful.question","What is going well that you want to continue? What is nourishing or supportive?","무엇이 잘 되고 있어서 계속하고 싶은가요? 무엇이 자양분이 되거나 도움이 되고 있나요?",""
"emotions.joy-3-joyful.overloadRisk","If you over-use this feeling, you may skip over problems or appear insensitive to others' pain.","이 느낌을 과도하게 사용하면 문제를 건너뛰거나 다른 사람의 고통에 둔감하게 보일 수 있습니다.",""
"emotions.joy-3-joyful.overloadTip","To balance, enjoy what is good and gently scan for anything that also needs care or repair.","균형을 위해, 좋은 것을 즐기면서 돌봄이나 수리가 필요한 다른 것은 없는지 부드럽게 살펴보세요.",""
