order,id,name,category,question,overloadRisk,overloadTip,adaptivePurpose,oppositeId
1.0,joy-1-optimistic,Optimistic,Joy,What possibilities do you see? What could go right in this situation?,"If you over-use this feeling, you may overlook real risks or pressure others to “stay positive” when they need something different.","To balance, name one real challenge and one concrete step to prepare for it while still honoring your sense of possibility.",Signals that you see positive possibilities and potential good outcomes.,sad-1-hurt
2.0,joy-2-confident,Confident,Joy,What strengths can you bring to this situation? What are you capable of doing?,"If you over-use this feeling, you may overestimate your capacity or dismiss others’ perspectives and needs.","To balance, ask yourself where you still need input or support, and invite at least one other voice into the conversation.","Signals that you have resources, abilities, or experience you can draw on.",sad-2-depressed
3.0,joy-3-joyful,Joyful,Joy,What is going well that you want to continue? What is nourishing or supportive?,"If you over-use this feeling, you may skip over problems or appear insensitive to others’ pain.","To balance, enjoy what is good and gently scan for anything that also needs care or repair.",Signals that something important is working and worth savoring and continuing.,sad-3-lonely
4.0,joy-4-loving,Loving,Joy,What do you appreciate about this person or situation? How can you show care and support?,"If you over-use this feeling, you may lose healthy boundaries or neglect your own needs while caring for others.","To balance, name one thing you appreciate and one need of your own, and choose a step that honors both.","Signals a desire to connect, nurture, and invest in people or causes that matter to you.",sad-4-ashamed
5.0,trust-1-grateful,Grateful,Trust,What is supporting or nourishing you? Who or what is contributing to what you care about?,"If you over-use this feeling, you may tolerate unhealthy situations or avoid expressing real needs because “you should be grateful.”","To balance, let gratitude stand beside honesty: appreciate what is working and identify one need or boundary you still want to express.","Signals that you are receiving support, resources, or gifts that matter to you.",disgust-1-dislike
6.0,trust-2-peaceful,Peaceful,Trust,What is recharging or supporting you? What’s going right?,"If you over-use this feeling, you may avoid necessary conflict or disengage from important challenges.","To balance, enjoy the calm and ask if there is any issue that still needs a courageous conversation or small action.",Signals that your system is re-centering and you feel safe enough to rest and restore.,disgust-2-avoidance
7.0,trust-3-accepted,Accepted,Trust,Where do you feel you belong? Who accepts and values you as you are?,"If you over-use this feeling, you may over-conform, hiding parts of yourself to keep belonging.","To balance, notice where you feel safe enough to be more authentic, and share one more honest piece of yourself.","Signals that you feel seen, valued, and included in a group or relationship.",disgust-3-awful
8.0,trust-4-hopeful,Hopeful,Trust,What are you hoping for? What positive outcome do you envision?,"If you over-use this feeling, you may wait passively for change or cling to unrealistic expectations.","To balance, translate one part of your hope into a specific, doable step you can take now.",Signals that you can imagine a better future and feel drawn toward it.,disgust-4-disapproval
9.0,fear-1-nervous,Nervous,Fear,What is creating risk? What feels unpredictable or out of control?,"If you over-use this feeling, you may see danger everywhere, overthink, or become paralyzed by what-if scenarios.","To balance, name one specific risk you are concerned about and one small action you can take to prepare or test your assumptions.",Signals that something feels uncertain or risky and may need caution or preparation.,anger-1-aggressive
10.0,fear-2-scared,Scared,Fear,What or who do you care about that’s at risk? What danger or harm are you sensing?,"If you over-use this feeling, you may withdraw from what matters most or avoid important steps because they feel too scary.","To balance, clarify what you most want to protect and choose one action that increases safety while still honoring what you care about.",Signals that something you care about feels threatened and needs protection or attention.,anger-2-mad
