id,family,feeling,quote_index,quote_text,speaker,work
joy-1-optimistic,Joy,Optimistic,1,"The sun’ll come out tomorrow.","Annie","Annie"
joy-1-optimistic,Joy,Optimistic,2,"There’s some good in this world, and it’s worth fighting for.","Samwise Gamgee","The Lord of the Rings: The Two Towers"
joy-1-optimistic,Joy,Optimistic,3,"Even miracles take a little time.","Fairy Godmother","Cinderella"
joy-2-confident,Joy,Confident,1,"I am no bird; and no net ensnares me.","Jane Eyre","Jane Eyre"
joy-2-confident,Joy,Confident,2,"I know my worth.","Carol Danvers","Captain Marvel"
joy-2-confident,Joy,Confident,3,"She wasn’t fragile like a flower… she was fragile like a bomb.","Taylor Swift","Miss Americana"
joy-3-joyful,Joy,Joyful,1,"I’m walking on sunshine, and don’t it feel good!","Katrina & The Waves","Walking on Sunshine"
joy-3-joyful,Joy,Joyful,2,"Here comes the sun, and I say, it’s all right.","George Harrison","The Beatles"
joy-3-joyful,Joy,Joyful,3,"To infinity and beyond!","Buzz Lightyear","Toy Story"
joy-4-loving,Joy,Loving,1,"All you need is love.","John Lennon","The Beatles"
joy-4-loving,Joy,Loving,2,"Whatever our souls are made of, his and mine are the same.","Emily Brontë","Wuthering Heights"
joy-4-loving,Joy,Loving,3,"After all this time?","Severus Snape","Harry Potter and the Deathly Hallows"
anticipation-1-excited,Anticipation,Excited,1,"I’m so excited, and I just can’t hide it!","The Pointer Sisters","I’m So Excited"
anticipation-1-excited,Anticipation,Excited,2,"Adventure is out there!","Ellie","Up"
anticipation-1-excited,Anticipation,Excited,3,"This is gonna be good.",,"The Hunger Games"
anticipation-2-eager,Anticipation,Eager,1,"I can’t wait!","Hermione Granger","Harry Potter"
anticipation-2-eager,Anticipation,Eager,2,"I want to go to there.","Liz Lemon","30 Rock"
anticipation-2-eager,Anticipation,Eager,3,"Show me what you got.",,"Top Gun"
anticipation-3-interested,Anticipation,Interested,1,"Tell me more.",,"Grease"
anticipation-3-interested,Anticipation,Interested,2,"Curioser and curioser!","Alice","Alice’s Adventures in Wonderland"
anticipation-3-interested,Anticipation,Interested,3,"So… what happens next?",,"The Princess Bride"
anticipation-4-stressed,Anticipation,Stressed,1,"I’m under a lot of pressure.","Peter Parker","Spider-Man 2"
anticipation-4-stressed,Anticipation,Stressed,2,"It’s too much.","Frodo Baggins","The Lord of the Rings"
anticipation-4-stressed,Anticipation,Stressed,3,"I’m hanging by a thread.",,"Inside Out 2"
anger-1-aggressive,Anger,Aggressive,1,"Don’t make me angry. You wouldn’t like me when I’m angry.","Bruce Banner","The Incredible Hulk"
anger-1-aggressive,Anger,Aggressive,2,"You dare challenge me?","Thor","Thor"
anger-1-aggressive,Anger,Aggressive,3,"Say hello to my little friend!","Tony Montana","Scarface"
anger-2-mad,Anger,Mad,1,"I am very angry with you!","Professor McGonagall","Harry Potter"
anger-2-mad,Anger,Mad,2,"You can’t handle the truth!","Colonel Jessup","A Few Good Men"
anger-2-mad,Anger,Mad,3,"This means war.","Bugs Bunny","Looney Tunes"
anger-3-frustrated,Anger,Frustrated,1,"Why is everything so complicated?","Avril Lavigne","Complicated"
anger-3-frustrated,Anger,Frustrated,2,"I’m trying, okay?",,"Spider-Man: Homecoming"
anger-3-frustrated,Anger,Frustrated,3,"This is not going the way you think.","Luke Skywalker","Star Wars: The Last Jedi"
anger-4-critical,Anger,Critical,1,"I’m not impressed.",,"Gladiator"
anger-4-critical,Anger,Critical,2,"Frankly, my dear, I don’t give a damn.","Rhett Butler","Gone With the Wind"
anger-4-critical,Anger,Critical,3,"That’s… not ideal.","Sherlock Holmes","Sherlock (BBC)"
disgust-1-dislike,Disgust,Dislike,1,"I don’t like this.","Rey","Star Wars: The Force Awakens"
disgust-1-dislike,Disgust,Dislike,2,"Ew, David!","Alexis Rose","Schitt’s Creek"
disgust-1-dislike,Disgust,Dislike,3,"That’s disgusting!","Hermione Granger","Harry Potter"
