"key","english","vietnamese","claude_note"
"ui.title","Emotional Wisdom Wheel","Bánh Xe Trí Tuệ Cảm Xúc",""
"ui.welcomeMessage","This interactive wheel helps you identify and understand different emotions.","Bánh xe tương tác này giúp bạn nhận biết và hiểu các cảm xúc khác nhau.",""
"ui.howToUseTitle","How to use:","Cách sử dụng:",""
"ui.howToUseSteps[0]","Hover over any segment to highlight it","Di chuột qua bất kỳ phần nào để làm nổi bật",""
"ui.howToUseSteps[1]","Click on a segment to learn more about that emotion","Nhấp vào một phần để tìm hiểu thêm về cảm xúc đó",""
"ui.howToUseSteps[2]","Explore the 8 core emotions and 32 related feelings","Khám phá 8 cảm xúc cốt lõi và 32 cảm giác liên quan",""
"ui.copyright","©Joshua Freedman from the new book:","©Joshua Freedman từ cuốn sách mới:",""
"ui.copyrightLink","Emotion Rules","Emotion Rules","Keep in English — must match book title"
"ui.version","v3.3","v3.2","Check version matches en.json"
"ui.modalClose","×","×",""
"ui.relatedFeelingsLabel","Variations","Biến Thể",""
"ui.borderInfoLabel","Border Insight","Góc Nhìn Biên Giới",""
"ui.quotesLabel","Inspirational Quotes","Trích Dẫn Truyền Cảm Hứng",""
"ui.adaptivePurposeLabel","Adaptive Purpose","Mục Đích Thích Nghi",""
"ui.overloadRiskLabel","Overload Risk","Nguy Cơ Quá Tải",""
"ui.overloadTipLabel","Balance Tip","Mẹo Cân Bằng",""
"ui.tabEssentials","Essentials","Cơ Bản","Tab label — keep short"
"ui.tabAlgebra","Algebra","Đại Số","Tab label — keep short"
"ui.tabWisdom","Wisdom","Trí Tuệ","Tab label — keep short; gated content"
"ui.tabExamples","Examples","Ví Dụ","Tab label — keep short; gated content"
"ui.tabEmojis","Emojis","Biểu Tượng","Tab label — keep short"
"ui.definitionLabel","Definition","Định Nghĩa",""
"ui.emotionalAlgebraLabel","Emotional Algebra","Đại Số Cảm Xúc",""
"ui.exploreRelatedLabel","Explore Related Feelings","Khám Phá Cảm Giác Liên Quan",""
"ui.guidingQuestionLabel","Guiding Question","Câu Hỏi Dẫn Dắt",""
"ui.realLifeExampleLabel","Real-Life Example","Ví Dụ Thực Tế",""
"ui.copyButton","Copy","Sao Chép",""
"ui.copiedToast","Copied!","Đã Sao Chép!",""
"ui.randomFeelingButton","🎲 Explore a Random Feeling","🎲 Khám Phá Một Cảm Giác Ngẫu Nhiên",""
"ui.noQuotes","No quotations available for this feeling.","Không có trích dẫn nào cho cảm giác này.",""
"ui.comingSoon","Real-life examples coming soon.","Ví dụ thực tế sẽ sớm có.",""
"ui.subscribeModalTitle","Unlock Full Access","Mở Khóa Toàn Bộ Quyền Truy Cập",""
"ui.subscribeModalDescription","Get free access to wisdom insights and real-life examples for all 32 emotions.","Nhận quyền truy cập miễn phí vào những hiểu biết về trí tuệ và ví dụ thực tế cho tất cả 32 cảm xúc.",""
"ui.subscribeButton","Subscribe Free","Đăng Ký Miễn Phí",""
"ui.firstNamePlaceholder","First name","Tên",""
"ui.emailPlaceholder","Email address","Địa chỉ email",""
"ui.countryPlaceholder","Select your country","Chọn quốc gia của bạn",""
"ui.privacyNote","We respect your privacy. Unsubscribe anytime.","Chúng tôi tôn trọng quyền riêng tư của bạn. Hủy đăng ký bất cứ lúc nào.",""
"ui.subscribeSuccess","Welcome! All content is now unlocked.","Chào mừng! Tất cả nội dung đã được mở khóa.",""
"ui.welcomeBackTitle","Thank you for subscribing!","Cảm ơn bạn đã đăng ký!",""
"ui.welcomeBackMessage","Close this message and you have full access to the Emotional Wisdom Wheel.","Đóng thông báo này để có toàn quyền truy cập vào Bánh Xe Trí Tuệ Cảm Xúc.",""
"ui.welcomeBackButton","Start Exploring","Bắt Đầu Khám Phá",""
