"key","english","chinese","claude_note"
"ui.title","Emotional Wisdom Wheel","情绪智慧之轮","Main page title; keep concise"
"ui.welcomeMessage","This interactive wheel helps you identify and understand different emotions.","这个互动轮盘帮助你识别和理解不同的情绪。",""
"ui.howToUseTitle","How to use:","使用方法：",""
"ui.howToUseSteps[0]","Hover over any segment to highlight it","将鼠标悬停在任意扇区上以高亮显示",""
"ui.howToUseSteps[1]","Click on a segment to learn more about that emotion","点击扇区了解该情绪的更多信息",""
"ui.howToUseSteps[2]","Explore the 8 core emotions and 32 related feelings","探索8种核心情绪和32种相关感受",""
"ui.copyright","©Joshua Freedman from the new book:","©Joshua Freedman 新书：","Legal text; keep format similar"
"ui.copyrightLink","Emotion Rules","Emotion Rules","Book title; keep in English"
"ui.version","v3.3","v3.3","Version string; keep as-is"
"ui.modalClose","×","×","Close button symbol; keep as-is"
"ui.relatedFeelingsLabel","Variations","情绪变体","Section heading label; keep short"
"ui.borderInfoLabel","Border Insight","边界洞察","Section heading label; keep short"
"ui.quotesLabel","Inspirational Quotes","启发性引言","Section heading label; keep short"
"ui.adaptivePurposeLabel","Adaptive Purpose","适应性功能","Section heading label; keep short"
"ui.overloadRiskLabel","Overload Risk","过载风险","Section heading label; keep short"
"ui.overloadTipLabel","Balance Tip","平衡建议","Section heading label; keep short"
"ui.tabEssentials","Essentials","基础","Tab label; must be very short (1-4 chars ideal for zh)"
"ui.tabAlgebra","Algebra","代数","Tab label; must be very short (1-4 chars ideal for zh)"
"ui.tabWisdom","Wisdom","智慧","Tab label; must be very short (1-4 chars ideal for zh)"
"ui.tabExamples","Examples","案例","Tab label; must be very short (1-4 chars ideal for zh)"
"ui.tabEmojis","Emojis","表情","Tab label; must be very short (1-4 chars ideal for zh)"
"ui.definitionLabel","Definition","定义","Section heading label; keep short"
"ui.emotionalAlgebraLabel","Emotional Algebra","情绪代数","Section heading label; keep short"
"ui.exploreRelatedLabel","Explore Related Feelings","探索相关情绪","Section heading label; keep short"
"ui.guidingQuestionLabel","Guiding Question","引导性问题","Section heading label; keep short"
"ui.realLifeExampleLabel","Real-Life Example","真实案例","Section heading label; keep short"
"ui.copyButton","Copy","复制","Button label; keep very short"
"ui.copiedToast","Copied!","已复制！","Toast notification; keep very short"
"ui.randomFeelingButton","🎲 Explore a Random Feeling","🎲 随机探索一种情绪","Button label; emoji prefix preserved"
"ui.noQuotes","No quotations available for this feeling.","暂无该情绪的相关引言。",""
"ui.comingSoon","Real-life examples coming soon.","真实案例即将推出。",""
"ui.subscribeModalTitle","Unlock Full Access","解锁完整内容","Modal heading; keep concise and compelling"
"ui.subscribeModalDescription","Get free access to wisdom insights and real-life examples for all 32 emotions.","免费获取32种情绪的智慧洞察和真实案例。","Modal body text"
"ui.subscribeButton","Subscribe Free","免费订阅","Button label; keep short"
"ui.firstNamePlaceholder","First name","名字","Form placeholder; keep short"
"ui.emailPlaceholder","Email address","邮箱地址","Form placeholder; keep short"
"ui.countryPlaceholder","Select your country","选择你的国家","Form placeholder; keep short"
"ui.privacyNote","We respect your privacy. Unsubscribe anytime.","我们尊重您的隐私，随时可以取消订阅。",""
"ui.subscribeSuccess","Welcome! All content is now unlocked.","欢迎！所有内容现已解锁。",""
"ui.welcomeBackTitle","Thank you for subscribing!","感谢您的订阅！",""
"ui.welcomeBackMessage","Close this message and you have full access to the Emotional Wisdom Wheel.","关闭此消息，即可畅享情绪智慧之轮的全部内容。",""
"ui.welcomeBackButton","Start Exploring","开始探索","Button label; keep short"
"ui.aboutLabel","About","关于","Small label; keep very short"
"ui.aboutCardText1","Emotions can be confusing, but they have their own logic... they follow ""rules."" That's what you'll get from the book Emotion Rules, The Science and Practice of Emotional Wisdom.","情绪可能令人困惑，但它们有自己的逻辑……它们遵循规则""。这正是您将从本书 Emotion Rules"," The Science and Practice of Emotional Wisdom 中获得的内容。""","About card paragraph 1; contains HTML link to book. Book title kept in English."
"ui.aboutCardText2","This Emotional Wisdom Wheel is based on the concepts in the book, and Six Seconds' methodology for helping people grow and practice emotional intelligence.","这个情绪智慧之轮基于书中的概念，以及Six Seconds帮助人们成长和实践情商的方法论。","About card paragraph 2; 'Six Seconds' is an org name, keep in English."
"ui.oppositeFeelingLabel","Feeling Across the Wheel","轮盘对面的情绪","Section heading; renamed from 'Opposite Feeling'"
"emotions.joy-1-optimistic.name","Optimistic","乐观","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.joy-1-optimistic.category","Joy","快乐","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Joy emotions must use identical category string."
"emotions.joy-1-optimistic.description","A feeling of hopefulness and confidence about the future. When you're optimistic, you believe that good things will happen and maintain a positive outlook on life.","对未来充满希望和信心的感觉。当你感到乐观时，你相信好事会发生，并对生活保持积极的态度。",""
"emotions.joy-1-optimistic.question","What possibilities do you see? What could go right in this situation?","你看到了哪些可能性？在这种情况下，什么可能顺利发展？",""
"emotions.joy-1-optimistic.overloadRisk","If you over-use this feeling, you may overlook real risks or pressure others to 'stay positive' when they need something different.","如果过度使用这种情绪，你可能会忽略真实的风险，或者在别人需要其他支持时，强迫他人保持积极""。""",""
